nama_sample,ph_label,ppm_label,ntu_label,status_air,kelayakan,jenis_air,raw_ph,volt_ph,raw_tds,volt_tds,comp_volt_tds,raw_turb,volt_turb,suhu
Amidis,7.96,1.0,NETRAL,LAYAK,Mineral,49323.60,2.4837,11109.20,0.5594,0.5138,2171,1.7495,0.00,29.44
Amidis,7.96,1.0,NETRAL,LAYAK,Mineral,49309.10,2.4829,11146.00,0.5613,0.5161,2172,1.7503,0.00,29.38
Amidis,7.96,1.0,NETRAL,LAYAK,Mineral,49254.70,2.4802,11106.00,0.5592,0.5142,2171,1.7495,0.00,29.38
Amidis,7.96,1.0,NETRAL,LAYAK,Mineral,49285.10,2.4817,11203.60,0.5642,0.5188,2183,1.7592,0.00,29.38
Amidis,7.96,1.0,NETRAL,LAYAK,Mineral,49109.10,2.4729,11226.00,0.5653,0.5198,2170,1.7487,0.00,29.38
Amidis,7.96,1.0,NETRAL,LAYAK,Mineral,49123.40,2.4736,11203.60,0.5642,0.5188,2173,1.7511,0.00,29.38
Amidis,7.96,1.0,NETRAL,LAYAK,Mineral,49195.50,2.4772,11219.60,0.5650,0.5195,2172,1.7503,0.00,29.38
Amidis,7.96,1.0,NETRAL,LAYAK,Mineral,49225.80,2.4788,11234.00,0.5657,0.5196,2186,1.7616,0.00,29.44
Amidis,7.96,1.0,NETRAL,LAYAK,Mineral,49326.80,2.4838,11210.00,0.5645,0.5191,2172,1.7503,0.00,29.38
Amidis,7.96,1.0,NETRAL,LAYAK,Mineral,49232.30,2.4791,11187.60,0.5633,0.5180,2172,1.7503,0.00,29.38
Amidis,7.96,1.0,NETRAL,LAYAK,Mineral,49315.60,2.4833,11181.20,0.5630,0.5171,2173,1.7511,0.00,29.44
Amidis,7.96,1.0,NETRAL,LAYAK,Mineral,49187.50,2.4768,11126.80,0.5603,0.5152,2172,1.7503,0.00,29.38
Amidis,7.96,1.0,NETRAL,LAYAK,Mineral,49259.50,2.4805,11099.60,0.5589,0.5134,2172,1.7503,0.00,29.44
Amidis,7.96,1.0,NETRAL,LAYAK,Mineral,49198.80,2.4774,11163.60,0.5621,0.5163,2170,1.7487,0.00,29.44
Amidis,7.96,1.0,NETRAL,LAYAK,Mineral,49267.50,2.4809,11107.60,0.5593,0.5137,2171,1.7495,0.00,29.44
Amidis,7.96,1.0,NETRAL,LAYAK,Mineral,49342.90,2.4847,11176.40,0.5628,0.5175,2170,1.7487,0.00,29.38
Amidis,7.96,1.0,NETRAL,LAYAK,Mineral,49286.80,2.4818,11194.00,0.5637,0.5177,2173,1.7511,0.00,29.44
Amidis,7.96,1.0,NETRAL,LAYAK,Mineral,49293.10,2.4821,11182.80,0.5631,0.5178,2182,1.7584,0.00,29.38
Amidis,7.96,1.0,NETRAL,LAYAK,Mineral,49208.30,2.4779,11160.40,0.5620,0.5162,2172,1.7503,0.00,29.44
Amidis,7.96,1.0,NETRAL,LAYAK,Mineral,49241.80,2.4796,11208.40,0.5644,0.5184,2175,1.7527,0.00,29.44
Amidis,7.96,1.0,NETRAL,LAYAK,Mineral,49274.00,2.4812,11213.20,0.5646,0.5192,2171,1.7495,0.00,29.38
Amidis,7.96,1.0,NETRAL,LAYAK,Mineral,49307.50,2.4829,11190.80,0.5635,0.5182,2173,1.7511,0.00,29.38
Amidis,7.96,1.0,NETRAL,LAYAK,Mineral,49192.30,2.4771,11181.20,0.5630,0.5171,2148,1.7310,0.10,29.44
Amidis,7.96,1.0,NETRAL,LAYAK,Mineral,49288.30,2.4819,11115.60,0.5597,0.5147,2173,1.7511,0.00,29.38
Amidis,7.96,1.0,NETRAL,LAYAK,Mineral,49248.30,2.4799,11163.60,0.5621,0.5169,2172,1.7503,0.00,29.38
Amidis,7.96,1.0,NETRAL,LAYAK,Mineral,49418.10,2.4884,11152.40,0.5616,0.5164,2174,1.7519,0.00,29.38
Amidis,7.96,1.0,NETRAL,LAYAK,Mineral,49373.20,2.4862,11173.20,0.5626,0.5174,2172,1.7503,0.00,29.38
Amidis,7.96,1.0,NETRAL,LAYAK,Mineral,49232.30,2.4791,11173.20,0.5626,0.5174,2176,1.7536,0.00,29.38
Amidis,7.96,1.0,NETRAL,LAYAK,Mineral,49227.50,2.4788,11171.60,0.5625,0.5167,2176,1.7536,0.00,29.44
Amidis,7.96,1.0,NETRAL,LAYAK,Mineral,49243.50,2.4796,11139.60,0.5609,0.5152,2176,1.7536,0.00,29.44
Amidis,7.96,1.0,NETRAL,LAYAK,Mineral,49221.10,2.4785,11131.60,0.5605,0.5154,2176,1.7536,0.00,29.38
Amidis,7.96,1.0,NETRAL,LAYAK,Mineral,49193.80,2.4771,11171.60,0.5625,0.5173,2173,1.7511,0.00,29.38
Amidis,7.96,1.0,NETRAL,LAYAK,Mineral,49242.00,2.4796,11208.40,0.5644,0.5184,2179,1.7560,0.00,29.44
Amidis,7.96,1.0,NETRAL,LAYAK,Mineral,49362.00,2.4856,11138.00,0.5609,0.5151,2171,1.7495,0.00,29.44
Amidis,7.96,1.0,NETRAL,LAYAK,Mineral,49225.90,2.4788,11109.20,0.5594,0.5138,2169,1.7479,0.00,29.44
Amidis,7.96,1.0,NETRAL,LAYAK,Mineral,49434.00,2.4892,11136.40,0.5608,0.5157,2173,1.7511,0.00,29.38
