nama_sample,ph_label,ppm_label,status_air,kelayakan,jenis_air,raw_ph,volt_ph,raw_tds,volt_tds,comp_volt_tds,raw_turb,volt_turb,ntu_sensor,suhu
Keran Mentah,6.68,233.0,NETRAL,TIDAK LAYAK,Air Mentah,47710.50,2.4025,14651.20,0.7378,0.6784,2162,1.7423,0.00,29.38
Keran Mentah,6.68,233.0,NETRAL,TIDAK LAYAK,Air Mentah,47612.90,2.3975,13305.20,0.6700,0.6161,2171,1.7495,0.00,29.38
Keran Mentah,6.68,233.0,NETRAL,TIDAK LAYAK,Air Mentah,47705.70,2.4022,14569.20,0.7336,0.6746,2163,1.7431,0.00,29.38
Keran Mentah,6.68,233.0,NETRAL,TIDAK LAYAK,Air Mentah,47180.80,2.3758,14662.40,0.7383,0.6789,2163,1.7431,0.00,29.38
Keran Mentah,6.68,233.0,NETRAL,TIDAK LAYAK,Air Mentah,47696.20,2.4017,13213.80,0.6654,0.6111,2163,1.7431,0.00,29.44
Keran Mentah,6.68,233.0,NETRAL,TIDAK LAYAK,Air Mentah,47760.00,2.4049,13129.10,0.6611,0.6079,2163,1.7431,0.00,29.38
Keran Mentah,6.68,233.0,NETRAL,TIDAK LAYAK,Air Mentah,47473.70,2.3905,14153.30,0.7127,0.6553,2163,1.7431,0.00,29.38
Keran Mentah,6.68,233.0,NETRAL,TIDAK LAYAK,Air Mentah,47484.70,2.3911,13859.10,0.6979,0.6410,2162,1.7423,0.00,29.44
Keran Mentah,6.68,233.0,NETRAL,TIDAK LAYAK,Air Mentah,47489.60,2.3913,12956.30,0.6524,0.5999,2163,1.7431,0.00,29.38
Keran Mentah,6.68,233.0,NETRAL,TIDAK LAYAK,Air Mentah,47185.60,2.3760,12958.10,0.6525,0.6000,2160,1.7407,0.00,29.38
Keran Mentah,6.68,233.0,NETRAL,TIDAK LAYAK,Air Mentah,47201.50,2.3768,14419.20,0.7261,0.6677,2154,1.7358,0.00,29.38
Keran Mentah,6.68,233.0,NETRAL,TIDAK LAYAK,Air Mentah,47579.20,2.3958,13377.30,0.6736,0.6194,2162,1.7423,0.00,29.38
Keran Mentah,6.68,233.0,NETRAL,TIDAK LAYAK,Air Mentah,47292.80,2.3814,13031.50,0.6562,0.6034,2165,1.7447,0.00,29.38
Keran Mentah,6.68,233.0,NETRAL,TIDAK LAYAK,Air Mentah,47752.00,2.4045,14168.00,0.7134,0.6553,2154,1.7358,0.00,29.44
Keran Mentah,6.68,233.0,NETRAL,TIDAK LAYAK,Air Mentah,47800.00,2.4070,13729.50,0.6913,0.6357,2162,1.7423,0.00,29.38
Keran Mentah,6.68,233.0,NETRAL,TIDAK LAYAK,Air Mentah,47561.60,2.3950,12903.50,0.6498,0.5975,2163,1.7431,0.00,29.38
Keran Mentah,6.68,233.0,NETRAL,TIDAK LAYAK,Air Mentah,47396.80,2.3867,13289.30,0.6692,0.6153,2162,1.7423,0.00,29.38
Keran Mentah,6.68,233.0,NETRAL,TIDAK LAYAK,Air Mentah,47235.30,2.3785,14731.20,0.7418,0.6821,2161,1.7415,0.00,29.38
Keran Mentah,6.68,233.0,NETRAL,TIDAK LAYAK,Air Mentah,47449.60,2.3893,14310.20,0.7206,0.6626,2163,1.7431,0.00,29.38
Keran Mentah,6.68,233.0,NETRAL,TIDAK LAYAK,Air Mentah,47829.00,2.4084,13641.20,0.6869,0.6316,2163,1.7431,0.00,29.38
Keran Mentah,6.68,233.0,NETRAL,TIDAK LAYAK,Air Mentah,47412.80,2.3875,13634.80,0.6866,0.6313,2164,1.7439,0.00,29.38
Keran Mentah,6.68,233.0,NETRAL,TIDAK LAYAK,Air Mentah,47702.60,2.4021,14884.70,0.7495,0.6892,2163,1.7431,0.00,29.38
